algo,episode,src,dst,path,hops,total_delay_ms,dropped,reward,loss,avg_utilization,avg_queue_util,total_dropped_data,link0_nodes,link0_delay,link0_bandwidth,link0_load,link0_utilization,link0_queue_size_cur,link0_queue_used_cur,link0_queue_util,link0_dropped_data,link1_nodes,link1_delay,link1_bandwidth,link1_load,link1_utilization,link1_queue_size_cur,link1_queue_used_cur,link1_queue_util,link1_dropped_data,link2_nodes,link2_delay,link2_bandwidth,link2_load,link2_utilization,link2_queue_size_cur,link2_queue_used_cur,link2_queue_util,link2_dropped_data,link3_nodes,link3_delay,link3_bandwidth,link3_load,link3_utilization,link3_queue_size_cur,link3_queue_used_cur,link3_queue_util,link3_dropped_data,link4_nodes,link4_delay,link4_bandwidth,link4_load,link4_utilization,link4_queue_size_cur,link4_queue_used_cur,link4_queue_util,link4_dropped_data,link5_nodes,link5_delay,link5_bandwidth,link5_load,link5_utilization,link5_queue_size_cur,link5_queue_used_cur,link5_queue_util,link5_dropped_data,link6_nodes,link6_delay,link6_bandwidth,link6_load,link6_utilization,link6_queue_size_cur,link6_queue_used_cur,link6_queue_util,link6_dropped_data,link7_nodes,link7_delay,link7_bandwidth,link7_load,link7_utilization,link7_queue_size_cur,link7_queue_used_cur,link7_queue_util,link7_dropped_data
DQN,1,0,6,0→2→4→5→4→6,5,32.9420,0,0.1170,0.000000,0.0274,0.0454,0.0000,0→2,2.7052,43.3859,9.0000,0.2074,74,74.0000,1.0000,0.0000,2→4,8.2429,89.7461,15.9714,0.1780,91,91.0000,1.0000,0.0000,4→5,6.9837,146.9298,15.9714,0.1087,82,82.0000,1.0000,0.0000,5→4,6.9837,146.9298,15.9714,0.1087,82,82.0000,1.0000,0.0000,4→6,8.0266,102.6048,15.9714,0.1557,60,60.0000,1.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,2,0,5,0→1→0→2→1→0→1→3,7,46.6945,1,-3.8792,0.000000,0.0438,0.0321,24.2929,0→1,7.2669,100.3081,205.4094,2.0478,33,66.0000,2.0000,0.0000,1→0,7.2669,100.3081,136.0180,1.3560,33,66.0000,2.0000,10.1864,0→2,3.7136,133.4509,72.7950,0.5455,50,50.0000,1.0000,0.0000,2→1,4.2563,35.7770,72.7950,2.0347,47,47.0000,1.0000,0.0000,1→0,7.2669,100.3081,136.0180,1.3560,33,66.0000,2.0000,10.1864,0→1,7.2669,100.3081,205.4094,2.0478,33,66.0000,2.0000,0.0000,1→3,9.6571,183.5445,39.1065,0.2131,29,29.0000,1.0000,14.1065,,,,,,,,,
DQN,3,4,2,4→5→3→4→3→1→3→1,7,38.3446,1,-3.6542,0.000000,0.0460,0.0110,69.4454,4→5,8.4681,165.4853,90.2611,0.5454,49,49.0000,1.0000,5.2611,5→3,9.2441,61.4385,29.9232,0.4870,28,28.0000,1.0000,64.1843,3→4,1.3367,119.8734,37.8887,0.3161,63,63.0000,1.0000,0.0000,4→3,1.3367,119.8734,37.8887,0.3161,63,63.0000,1.0000,0.0000,3→1,5.9863,39.5436,75.7773,1.9163,73,146.0000,2.0000,0.0000,1→3,5.9863,39.5436,75.7773,1.9163,73,73.0000,1.0000,0.0000,3→1,5.9863,39.5436,75.7773,1.9163,73,146.0000,2.0000,0.0000,,,,,,,,,
DQN,4,3,1,3→5→4→3→4→5→7→5,7,36.2609,1,-3.4693,0.000000,0.0216,0.0606,21.4552,3→5,6.2300,55.9596,10.0000,0.1787,89,89.0000,1.0000,0.0000,5→4,2.1795,42.2757,10.0000,0.2365,65,65.0000,1.0000,0.0000,4→3,7.4387,153.0171,50.1988,0.3281,84,84.0000,1.0000,0.0000,3→4,7.4387,153.0171,50.1988,0.3281,84,84.0000,1.0000,0.0000,4→5,2.1795,42.2757,50.1988,1.1874,65,65.0000,1.0000,0.0000,5→7,5.3973,139.3156,65.0129,0.4667,45,45.0000,1.0000,9.3654,7→5,5.3973,139.3156,52.9231,0.3799,45,45.0000,1.0000,12.0897,,,,,,,,,
DQN,5,6,2,6→4→5→7→6→4→1→4,7,25.1257,1,-3.2486,0.000000,0.0820,0.0146,7.4248,6→4,5.5407,177.5009,238.4113,1.3432,83,166.0000,2.0000,0.0000,4→5,4.5427,77.2384,184.9381,2.3944,74,74.0000,1.0000,7.4248,5→7,1.3913,52.6697,197.6515,3.7527,88,105.8187,1.2025,0.0000,7→6,3.1307,64.8898,163.6078,2.5213,71,71.0000,1.0000,0.0000,6→4,5.5407,177.5009,238.4113,1.3432,83,166.0000,2.0000,0.0000,4→1,2.4898,71.2496,64.8898,0.9107,93,93.0000,1.0000,0.0000,1→4,2.4898,71.2496,64.8898,0.9107,93,93.0000,1.0000,0.0000,,,,,,,,,
DQN,6,5,0,5→4→5→4→6→7→5→7,7,41.9104,1,-3.4111,0.000000,0.0215,0.0338,1.8168,5→4,5.8189,172.7409,42.0000,0.2431,59,118.0000,2.0000,0.0000,4→5,5.8189,172.7409,28.0000,0.1621,59,59.0000,1.0000,0.0000,5→4,5.8189,172.7409,42.0000,0.2431,59,118.0000,2.0000,0.0000,4→6,8.2395,115.8900,29.3177,0.2530,72,72.0000,1.0000,0.0000,6→7,2.8216,145.0637,29.3177,0.2021,78,78.0000,1.0000,0.0000,7→5,6.6963,71.8680,29.3177,0.4079,34,34.0000,1.0000,0.0000,5→7,6.6963,71.8680,40.4991,0.5635,34,34.0000,1.0000,1.8168,,,,,,,,,
DQN,7,7,3,7→5→3,2,14.5019,0,0.7805,0.000000,0.0329,0.0508,0.0000,7→5,9.5608,41.3261,30.7735,0.7446,77,77.0000,1.0000,0.0000,5→3,4.9411,88.9976,66.0300,0.7419,94,94.0000,1.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,8,0,7,0→2→0→2→4→6→7,6,24.1441,0,-0.3841,0.000000,0.0559,0.0516,0.0000,0→2,1.3255,20.9774,124.9600,5.9569,72,144.0000,2.0000,0.0000,2→0,1.3255,20.9774,62.4800,2.9784,72,72.0000,1.0000,0.0000,0→2,1.3255,20.9774,124.9600,5.9569,72,144.0000,2.0000,0.0000,2→4,7.9490,145.6617,20.8267,0.1430,94,94.0000,1.0000,0.0000,4→6,2.3969,152.2318,20.8267,0.1368,88,88.0000,1.0000,0.0000,6→7,9.8218,130.0778,31.2621,0.2403,76,76.0000,1.0000,0.0000,,,,,,,,,,,,,,,,,,
DQN,9,5,7,5→7,1,6.8719,0,0.9779,0.000000,0.0810,0.1542,0.0000,5→7,6.8719,76.9185,10.0000,0.1300,71,71.0000,1.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,10,2,3,2→0→2→6→4→1→0→1,7,27.4890,0,-3.0062,0.000000,0.0185,0.0374,0.0000,2→0,1.0965,57.6304,10.0000,0.1735,71,71.0000,1.0000,0.0000,0→2,1.0965,57.6304,10.0000,0.1735,71,71.0000,1.0000,0.0000,2→6,3.1930,171.8459,10.0000,0.0582,88,88.0000,1.0000,0.0000,6→4,1.4018,61.9134,10.0000,0.1615,92,92.0000,1.0000,0.0000,4→1,6.0037,171.0326,36.7206,0.2147,84,84.0000,1.0000,0.0000,1→0,7.3487,89.8115,39.2307,0.4368,94,94.0000,1.0000,0.0000,0→1,7.3487,89.8115,39.2307,0.4368,94,94.0000,1.0000,0.0000,,,,,,,,,
