episode,reward,loss,epsilon,hops,delay_ms,dropped,avg_util,avg_q_util,buf_size,buf_fill_pct,beta,mean_prio
1,-2.8764241024952026,0.0,1.0,7,40.884972938735274,1.0,0.016783675339450625,0.025387038966896848,7,0.034999999999999996,0.0,0.0
2,-3.193581395513401,0.0,1.0,7,43.69746214833706,0.0,0.04345744392518172,0.04842217892906681,14,0.06999999999999999,0.0,0.0
3,-3.2204940693723447,0.0,1.0,7,35.49885779918045,1.0,0.01250203017416526,0.008954124928748976,21,0.105,0.0,0.0
4,1.0144540729281324,0.0,1.0,1,1.1254265893738138,0.0,0.0614245065688231,0.18643810620779908,22,0.11,0.0,0.0
5,1.007403871910324,0.0,1.0,1,4.746361831328731,0.0,0.04684496703189144,0.05404270750836179,23,0.11499999999999999,0.0,0.0
6,-2.9072930655508347,0.0,1.0,7,37.9641440246246,1.0,0.019559857788428725,0.02780778957329521,30,0.15,0.0,0.0
7,-2.8844897632331072,0.0,1.0,7,38.20220309961202,1.0,0.01655268802580604,0.01644274217719231,37,0.185,0.0,0.0
8,0.7924840914217255,0.0,1.0,4,19.71850655917143,0.0,0.02640075657284819,0.07456694697090382,41,0.20500000000000002,0.0,0.0
9,-3.1976629172917432,0.0,1.0,7,34.94700872957083,0.0,0.07923718753937457,0.04991256115576425,48,0.24,0.0,0.0
10,0.5236751108609403,0.0,1.0,5,19.437214426401745,0.0,0.02016109076786621,0.0464855613832234,53,0.265,0.0,0.0
11,0.7871123344539761,0.0,1.0,3,22.244910625999793,1.0,0.05182613964647239,0.15188881129240195,56,0.27999999999999997,0.0,0.0
12,-3.1317064601341547,0.0,1.0,7,40.74763741820624,0.0,0.028943479008470552,0.04470723323361689,63,0.315,0.0,0.0
13,0.9884947045945752,0.0,1.0,1,6.05953660363815,0.0,0.039890880798515695,0.095576232335052,64,0.32,0.0,0.0
14,0.4286909353877033,0.0,1.0,4,27.86918293783033,0.0,0.018833947794899056,0.02589997762836665,68,0.33999999999999997,0.0,0.0
15,-3.211093166913626,0.0,1.0,7,41.07252171260214,1.0,0.037022014603608946,0.05173777880493579,75,0.375,0.0,0.0
16,0.8997843200293767,0.0,1.0,2,15.647336689830908,0.0,0.051626641118107414,0.10867857183844627,77,0.385,0.0,0.0
17,-3.156633418864044,0.0,1.0,7,45.68452321240896,1.0,0.03308421054887468,0.020498557446034998,84,0.42,0.0,0.0
18,-3.3626011459667122,0.0,1.0,7,17.59806249874068,1.0,0.06451812913031132,0.043636063860508806,91,0.455,0.0,0.0
19,0.7405378422065023,0.0,1.0,6,26.04900340836851,1.0,0.030895928728238577,0.05745716119430046,97,0.485,0.0,0.0
20,-0.14812594544766078,0.0,1.0,5,32.11612336594475,1.0,0.05343483453981284,0.04696119301029911,102,0.51,0.0,0.0
21,-3.037510283551303,0.0,1.0,7,21.924861176676373,1.0,0.01700087314988953,0.015295054162346345,109,0.545,0.0,0.0
22,0.6460410539310231,0.0,1.0,4,9.05467448018929,0.0,0.03804814796215468,0.07910557015199891,113,0.565,0.0,0.0
23,-0.32367482452069474,0.0,1.0,5,32.023999852080294,1.0,0.028553538419081034,0.06862624447153193,118,0.59,0.0,0.0
24,-3.8771876752662995,0.0,1.0,7,59.2387088320546,0.0,0.04152021835181518,0.06108791172632498,125,0.625,0.0,0.0
25,0.9189855629838352,0.0,1.0,3,13.351727474251954,1.0,0.026569786916002758,0.07846749904541697,128,0.64,0.0,0.0
26,-3.1147158969537703,0.0,1.0,7,40.913098622450434,1.0,0.010314821037001385,0.020779882598540748,135,0.675,0.0,0.0
27,1.031789030097824,0.0,1.0,1,5.551860832684671,0.0,0.04943502477387541,0.09754598161773612,136,0.6799999999999999,0.0,0.0
28,0.08856846748631242,0.0,1.0,5,32.91368346617728,0.0,0.017284630860177917,0.042720251095146426,141,0.705,0.0,0.0
29,-3.809509448506905,0.0,1.0,7,25.08715980918835,1.0,0.030953712646700014,0.033724381701660026,148,0.74,0.0,0.0
30,-1.2869285188623132,0.0,1.0,6,55.85548005939444,1.0,0.036853989199708975,0.061904172430975166,154,0.77,0.0,0.0
31,0.7650546675884233,0.0,1.0,5,22.880065475885115,0.0,0.0331024114183007,0.08165349211401268,159,0.795,0.0,0.0
32,-2.9568282882829338,0.0,1.0,7,43.65965531324135,1.0,0.038043929860542516,0.03503734305689627,166,0.83,0.0,0.0
33,0.9977637812727471,0.0,1.0,2,6.504226602474631,0.0,0.05765889249037059,0.12826016332358517,168,0.84,0.0,0.0
