episode,reward,td_error,epsilon,hops,delay_ms,dropped,avg_util
1,0.10000000000000003,0.35,0.9999917000172225,2,9.0,0.0,0.006923076923076922
2,-1.7000000000000004,0.38750000000000007,0.999958500775004,8,27.0,0.0,0.02076923076923077
3,-0.4,0.30000000000000004,0.9999419015672216,4,14.0,0.0,0.02
4,-3.0999999999999996,0.385,0.9999087039782877,8,21.0,0.0,0.04615384615384616
5,-3.5,0.43375,0.9998755074914976,8,25.0,0.0,0.060000000000000005
6,-4.300000000000001,0.5225,0.9998423121068148,8,33.0,0.0,0.02153846153846154
7,-0.19999999999999996,0.36,0.9998215655510357,5,12.0,0.0,0.016153846153846154
8,-3.7,0.455,0.9997883719571996,8,27.0,0.0,0.06576923076923077
9,0.6,0.6,0.999784222835456,1,4.0,0.0,0.0038461538461538464
10,0.19999999999999996,0.3636,0.999771775573538,3,8.0,0.0,0.01153846153846154
11,0.10000000000000009,0.5,0.9997593284665878,3,9.0,0.0,0.013846153846153845
12,-1.3,0.4142428571428572,0.9997302858196789,7,23.0,0.0,0.02423076923076923
13,-3.999999999999999,0.47824999999999995,0.999697095256286,8,30.0,0.0,0.01846153846153846
14,-2.9,0.344345,0.9996639057948036,8,19.0,0.0,0.05500000000000001
15,0.30000000000000004,0.37623999999999996,0.9996514600308265,3,7.0,0.0,0.02
16,0.7,0.7,0.9996473114772674,1,3.0,0.0,0.0023076923076923075
17,-3.3,0.3679025,0.9996141236685824,8,23.0,0.0,0.03461538461538461
18,-3.3999999999999995,0.40001999999999993,0.9995809369617166,8,24.0,0.0,0.03807692307692308
19,-3.6,0.418803375,0.9995477513566335,8,26.0,0.0,0.03076923076923077
20,-1.1,0.30167142857142853,0.9995187148559633,7,21.0,0.0,0.01884615384615385
21,-3.5,0.422925,0.9994855313166241,8,25.0,0.0,0.029615384615384616
22,0.4,0.36,0.9994813834516691,1,6.0,0.0,0.003076923076923077
23,-0.5,0.37429999999999997,0.9994606443850976,5,15.0,0.0,0.030000000000000002
24,-3.6,0.42045,0.99942746277367,8,26.0,0.0,0.02076923076923077
25,-3.3,0.389673025,0.999394282263856,8,23.0,0.0,0.03461538461538462
26,0.0,0.34218,0.999381839856678,3,10.0,0.0,0.006923076923076922
27,-3.2,0.354511,0.999348660861523,8,22.0,0.0,0.03461538461538462
28,0.7,0.7,0.9993445135645804,1,3.0,0.0,0.003461538461538461
29,-3.5,0.3950025,0.9993113358086401,8,25.0,0.0,0.05076923076923076
30,-3.6,0.396047275,0.9992781591541853,8,26.0,0.0,0.03807692307692308
31,-3.2,0.35159999999999997,0.9992449836011793,8,22.0,0.0,0.07499999999999998
32,-3.5,0.41015,0.9992118091495857,8,25.0,0.0,0.027692307692307697
33,-0.30000000000000004,0.374,0.9991910756766346,5,13.0,0.0,0.023076923076923075
34,0.9,0.9,0.9991869290336706,1,1.0,0.0,0.008461538461538461
35,-1.8,0.30951874999999995,0.9991537565094608,8,28.0,0.0,0.03461538461538462
36,0.19999999999999996,0.28726666666666667,0.9991413170968161,3,8.0,0.0,0.00923076923076923
37,-4.0,0.39576374999999997,0.9991081460869006,8,30.0,0.0,0.04653846153846154
38,-2.6000000000000005,0.32366625000000004,0.9990749761782466,8,16.0,0.0,0.050769230769230775
39,0.8,0.8,0.9990708300170955,1,2.0,0.0,0.006923076923076922
40,-2.8000000000000003,0.294736075,0.9990376613473172,8,18.0,0.0,0.02307692307692308
41,-3.6,0.40594375000000005,0.9990044937787225,8,26.0,0.0,0.061538461538461535
42,-4.1000000000000005,0.424076,0.998971327311275,8,31.0,0.0,0.03076923076923077
43,0.0,0.5066666666666667,0.9989588901698643,3,10.0,0.0,0.013846153846153845
44,-0.9000000000000002,0.2931197142857143,0.9989298707753984,7,19.0,0.0,0.05192307692307692
